ResponseId,Age,YearsCode,CompTotal,ConvertedCompYearly
57070,35-44 years old,7,120000,120000
57071,Under 18 years old,8,NA,NA
57072,18-24 years old,2,NA,NA
57073,35-44 years old,17,80000,85672
57074,Under 18 years old,8,NA,NA
57075,25-34 years old,1,NA,NA
57076,18-24 years old,2,NA,NA
57077,35-44 years old,NA,NA,NA
57078,25-34 years old,11,NA,NA
57079,18-24 years old,12,2000000,24234
57080,18-24 years old,2,NA,NA
57081,55-64 years old,45,NA,NA
57082,18-24 years old,4,NA,NA
57083,18-24 years old,2,NA,NA
57084,25-34 years old,NA,NA,NA
57085,Under 18 years old,4,NA,NA
57086,25-34 years old,4,NA,NA
57087,Prefer not to say,4,NA,NA
57088,25-34 years old,4,80000,80000
57089,25-34 years old,9,25000,18588
57090,18-24 years old,Less than 1 year,NA,NA
57091,25-34 years old,15,NA,NA
57092,25-34 years old,17,36000,38552
57093,18-24 years old,6,110666,22451
57094,35-44 years old,10,225000,225000
57095,45-54 years old,26,NA,NA
57096,Under 18 years old,NA,NA,NA
57097,35-44 years old,20,NA,NA
57098,Prefer not to say,6,NA,NA
57099,35-44 years old,22,17,5
57100,35-44 years old,20,120000,24345
57101,18-24 years old,3,NA,NA
57102,35-44 years old,28,NA,NA
57103,35-44 years old,13,NA,NA
57104,25-34 years old,7,130000,130000
57105,35-44 years old,11,NA,NA
57106,35-44 years old,NA,200000,148703
57107,35-44 years old,25,NA,NA
57108,25-34 years old,12,NA,NA
57109,35-44 years old,8,NA,NA
57110,Under 18 years old,NA,NA,NA
57111,18-24 years old,7,NA,NA
57112,18-24 years old,10,250000,250000
57113,65 years or older,NA,155000,155000
57114,35-44 years old,22,125000,125000
57115,18-24 years old,4,211660,42941
57116,55-64 years old,39,260000,260000
57117,18-24 years old,8,70000,46273
57118,45-54 years old,20,NA,NA
57119,35-44 years old,20,162000,162000
57120,55-64 years old,30,50000,50000
57121,55-64 years old,30,NA,NA
57122,25-34 years old,7,NA,NA
57123,25-34 years old,10,52000000,40015
57124,25-34 years old,16,121000,73450
57125,18-24 years old,5,NA,NA
57126,25-34 years old,11,NA,NA
57127,25-34 years old,12,1400000,16964
57128,18-24 years old,2,25800,5234
57129,35-44 years old,13,750000,13327
57130,18-24 years old,2,NA,NA
57131,35-44 years old,17,220000,220000
57132,18-24 years old,5,NA,NA
57133,35-44 years old,23,195000,144985
57134,Under 18 years old,2,NA,NA
57135,25-34 years old,5,NA,NA
57136,Prefer not to say,4,NA,NA
